Note: 


Addr	Number	Disass
4027e8	1	mov edx, 0x407b20
4027ed	1	mov rdi, qword ptr [rip+0x23aee4]
4027f4	1	mov esi, 0x1
4027f9	1	xor eax, eax
4027fb	1	call 0x401240
402800	1	add rsp, 0x10
402804	1	pop rbx
402805	1	ret 
402a80	65535	push r12
402a82	65535	mov r12, rsi
402a85	65535	push rbp
402a86	65535	push rbx
402a87	65535	mov rbx, rdi
402a8a	65535	mov rdi, rsi
402a8d	65535	call 0x401070
402a92	65535	mov rdi, rbx
402a95	65535	mov rbp, rax
402a98	65535	call 0x401070
402a9d	65535	xor edx, edx
402a9f	65535	cmp rbp, rax
402aa2	65535	jnbe 0x402ad2
402aa4	65535	test rbp, rbp
402aa7	65535	mov dl, 0x1
402aa9	65535	jz 0x402ad2
402aab	65535	xor eax, eax
402aad	65535	nop dword ptr [rax], eax
402ab0	65535	movzx edx, byte ptr [r12+rax*1]
402ab5	65535	cmp dl, 0x23
402ab8	65535	jz 0x402ac4
402aba	65535	cmp dl, 0x3f
402abd	65535	jz 0x402ac4
402abf	65535	cmp dl, byte ptr [rbx+rax*1]
402ac2	65535	jnz 0x402ae0
402ac4	54175	add rax, 0x1
402ac8	54175	cmp rax, rbp
402acb	54175	jnz 0x402ab0
402acd	779	mov edx, 0x1
402ad2	65535	pop rbx
402ad3	65535	pop rbp
402ad4	65535	mov eax, edx
402ad6	65535	pop r12
402ad8	65535	ret 
402ae0	65535	pop rbx
402ae1	65535	xor edx, edx
402ae3	65535	pop rbp
402ae4	65535	mov eax, edx
402ae6	65535	pop r12
402ae8	65535	ret 
402af0	65535	test rdx, rdx
402af3	65535	mov eax, 0x1
402af8	65535	jz 0x402b2a
402afa	65535	xor eax, eax
402afc	65535	nop dword ptr [rax], eax
402b00	65535	movzx ecx, byte ptr [rsi+rax*1]
402b04	65535	cmp cl, 0x23
402b07	65535	jz 0x402b13
402b09	65535	cmp cl, 0x3f
402b0c	65535	jz 0x402b13
402b0e	65535	cmp byte ptr [rdi+rax*1], cl
402b11	65535	jnz 0x402b28
402b13	65535	add rax, 0x1
402b17	65535	cmp rax, rdx
402b1a	65535	jnz 0x402b00
402b1c	12	mov eax, 0x1
402b21	12	ret 
402b28	65535	xor eax, eax
402b2a	65535	ret 
402b30	12	push r14
402b32	12	lea r14, ptr [rdi+0x30]
402b36	12	push r13
402b38	12	xor r13d, r13d
402b3b	12	push r12
402b3d	12	mov r12, rdi
402b40	12	push rbp
402b41	12	mov rbp, rsi
402b44	12	push rbx
402b45	12	mov rbx, qword ptr [rdi+0x10]
402b49	12	test rbx, rbx
402b4c	12	jnz 0x402b54
402b50	65535	add rbx, 0x1
402b54	65535	cmp byte ptr [rbx], 0x0
402b57	65535	jz 0x402b88
402b59	65535	mov rsi, rbp
402b5c	65535	mov rdi, rbx
402b5f	65535	call 0x402a80
402b64	65535	test eax, eax
402b66	65535	jz 0x402b50
402b68	779	cmp dword ptr [r12], 0x1
402b6d	779	jnz 0x402b50
402b6f	3	test r13, r13
402b72	3	jz 0x402ba8
402b88	11268	mov r12, r14
402b8b	11268	add r14, 0x30
